iter	Passed	Remaining
399	47063	70594
400	47218	70533
401	47339	70420
402	47482	70339
403	47659	70309
404	47821	70255
405	47969	70182
406	48104	70088
407	48263	70028
408	48407	69948
409	48569	69892
410	48707	69801
411	48837	69700
412	48990	69630
413	49133	69546
414	49365	69586
415	49503	69495
416	49647	69411
417	49786	69319
418	49928	69232
419	50083	69162
420	50261	69123
421	50399	69030
422	50529	68924
423	50674	68841
424	50844	68789
425	50994	68710
426	51141	68628
427	51294	68552
428	51425	68447
429	51549	68332
430	51713	68271
431	51878	68211
432	52062	68174
433	52282	68183
434	52429	68098
435	52546	67972
436	52680	67869
437	52817	67770
438	52952	67668
439	53089	67568
440	53236	67481
441	53360	67364
442	53472	67232
443	53675	67214
444	53852	67163
445	54027	67110
446	54170	67016
447	54350	66967
448	54546	66937
449	54697	66852
450	54858	66779
451	55010	66694
452	55162	66608
453	55314	66523
454	55474	66447
455	55612	66344
456	55771	66267
457	55937	66196
458	56099	66121
459	56184	65955
460	56364	65901
461	56511	65807
462	56636	65688
463	56780	65590
464	56940	65512
465	57098	65431
466	57251	65342
467	57370	65215
468	57487	65087
469	57611	64965
470	57697	64802
471	57820	64680
472	57967	64585
473	58114	64489
474	58267	64400
475	58413	64303
476	58579	64229
477	58706	64110
478	58898	64063
479	59063	63985
480	59173	63848
481	59319	63750
482	59459	63645
483	59573	63512
484	59693	63385
485	59815	63261
486	59936	63136
487	60056	63009
488	60158	62865
489	60281	62742
490	60378	62592
491	60483	62450
492	60589	62310
493	60706	62180
494	60872	62102
495	61027	62012
496	61171	61909
497	61295	61787
498	61404	61650
499	61552	61552
500	61677	61431
501	61822	61330
502	61921	61183
503	62037	61053
504	62197	60966
505	62325	60847
506	62447	60723
507	62568	60597
508	62683	60466
509	62805	60342
510	62957	60246
511	63112	60153
512	63256	60050
513	63375	59923
514	63510	59811
515	63629	59683
516	63753	59560
517	63889	59449
518	64040	59351
519	64148	59213
520	64271	59090
521	64378	58951
522	64502	58828
523	64615	58696
524	64720	58556
525	64846	58435
526	64959	58302
527	65073	58171
528	65191	58043
529	65307	57913
530	65437	57796
531	65542	57657
532	65640	57512
533	65752	57379
534	65854	57238
535	66034	57164
536	66158	57041
537	66264	56903
538	66387	56780
539	66501	56649
540	66654	56551
541	66807	56453
542	66932	56331
543	67069	56220
544	67182	56088
545	67333	55987
546	67510	55908
547	67607	55763
548	67749	55656
549	67932	55581
550	68061	55462
551	68179	55334
552	68307	55213
553	68431	55090
554	68560	54972
555	68688	54852
556	68833	54745
557	68946	54613
558	69066	54487
559	69200	54372
560	69392	54301
561	69527	54187
562	69661	54070
563	69777	53941
564	69913	53827
565	70147	53787
566	70269	53662
567	70407	53549
568	70590	53469
569	70734	53361
570	70864	53241
571	70992	53120
572	71133	53009
573	71287	52906
574	71418	52787
575	71543	52663
576	71675	52545
577	71811	52429
578	71944	52312
579	72073	52191
580	72205	52072
581	72343	51957
582	72478	51841
583	72631	51737
584	72760	51616
585	72914	51512
586	73049	51395
587	73179	51275
588	73314	51158
589	73447	51039
590	73592	50929
591	73740	50821
592	73865	50696
593	74001	50580
594	74143	50467
595	74283	50352
596	74408	50228
597	74543	50111
598	74680	49994
599	74800	49866
600	74950	49759
601	75085	49641
602	75347	49606
603	75543	49528
604	75707	49429
605	75897	49346
606	76110	49277
607	76277	49178
608	76433	49073
609	76575	48958
610	76729	48850
611	76876	48738
612	77021	48625
613	77161	48508
614	77298	48389
615	77440	48274
616	77608	48175
617	77756	48063
618	77887	47940
619	78039	47830
620	78180	47714
621	78344	47611
622	78515	47512
623	78670	47403
624	78783	47270
625	78906	47142
626	79027	47013
627	79142	46880
628	79249	46743
629	79358	46607
630	79469	46472
631	79585	46341
632	79693	46204
633	79804	46070
634	79926	45942
635	80043	45810
636	80152	45675
637	80265	45542
638	80371	45405
639	80492	45277
640	80604	45143
641	80694	44998
642	80802	44862
643	80926	44735
644	81046	44606
645	81149	44468
646	81256	44333
647	81362	44197
648	81490	44072
649	81598	43937
650	81710	43805
651	81809	43665
652	81918	43531
653	82029	43397
654	82146	43268
655	82263	43138
656	82372	43004
657	82480	42869
658	82593	42738
659	82703	42604
660	82848	42489
661	82953	42353
662	83081	42229
663	83202	42102
664	83336	41981
665	83482	41866
666	83608	41741
667	83728	41613
668	83839	41480
669	83947	41347
670	84168	41268
671	84398	41194
672	84570	41091
673	84763	40998
674	84924	40889
675	85056	40766
676	85167	40634
677	85282	40502
678	85427	40386
679	85541	40254
680	85670	40130
681	85798	40005
682	85936	39885
683	86052	39755
684	86166	39624
685	86275	39490
686	86430	39378
687	86562	39254
688	86692	39131
689	86800	38997
690	86950	38882
691	87127	38779
692	87300	38674
693	87413	38542
694	87535	38414
695	87654	38285
696	87767	38154
697	87890	38026
698	88007	37897
699	88120	37766
700	88227	37631
701	88347	37503
702	88469	37376
703	88585	37246
704	88718	37123
705	88844	36997
706	88972	36872
707	89080	36739
708	89214	36616
709	89362	36500
710	89471	36367
711	89583	36235
712	89706	36109
713	89827	35981
714	89934	35847
715	90036	35712
716	90144	35579
717	90259	35450
718	90369	35318
719	90466	35181
720	90583	35052
721	90703	34924
722	90819	34795
723	90939	34667
724	91025	34527
725	91132	34394
726	91239	34261
727	91350	34130
728	91475	34005
729	91601	33880
730	91697	33743
731	91807	33612
732	91936	33488
733	92046	33357
734	92167	33230
735	92286	33102
736	92394	32971
737	92510	32842
738	92616	32710
739	92728	32580
740	92853	32454
741	92966	32325
742	93077	32195
743	93189	32065
744	93300	31934
745	93429	31811
746	93548	31683
747	93677	31559
748	93797	31432
749	93919	31306
750	94039	31179
751	94164	31054
752	94279	30925
753	94397	30798
754	94510	30669
755	94629	30541
756	94735	30410
757	94851	30282
758	94966	30154
759	95078	30024
760	95187	29894
761	95293	29763
762	95413	29637
763	95532	29510
764	95669	29388
765	95788	29261
766	95929	29141
767	96044	29013
768	96160	28885
769	96286	28760
770	96394	28630
771	96530	28509
772	96644	28380
773	96765	28254
774	96898	28131
775	97007	28002
776	97141	27879
777	97257	27752
778	97370	27623
779	97484	27495
780	97606	27369
781	97733	27245
782	97858	27120
783	97992	26997
784	98155	26883
785	98288	26760
786	98422	26637
787	98552	26514
788	98674	26388
789	98797	26262
790	98928	26139
791	99037	26009
792	99177	25888
793	99353	25776
794	99526	25664
795	99672	25544
796	99798	25419
797	99919	25292
798	100031	25164
799	100165	25041
800	100267	24910
801	100383	24782
802	100498	24655
803	100619	24529
804	100751	24405
805	100884	24282
806	100995	24153
807	101114	24027
808	101241	23902
809	101355	23774
810	101448	23642
811	101561	23514
812	101668	23385
813	101793	23259
814	101896	23129
815	102020	23004
816	102141	22878
817	102251	22750
818	102360	22621
819	102487	22497
820	102606	22370
821	102734	22246
822	102853	22120
823	102973	21994
824	103093	21868
825	103212	21742
826	103331	21615
