iter	MultiClass
0	1.214136838
1	1.083760625
2	0.9776209756
3	0.8891871125
4	0.8132176754
5	0.7487598433
6	0.6915303645
7	0.6440230805
8	0.6020346563
9	0.564343417
10	0.5313647759
11	0.5008014953
12	0.4705178735
13	0.4456625909
14	0.4224662127
15	0.4032877889
16	0.3842499254
17	0.366352796
18	0.3479495978
19	0.3324963107
20	0.3201355652
21	0.3073237041
22	0.2975737505
23	0.284810893
24	0.2752176807
25	0.2640360673
26	0.2545427895
27	0.246431417
28	0.2360404722
29	0.2290183588
30	0.2224013246
31	0.2159078024
32	0.2095116591
33	0.2039927807
34	0.1992836145
35	0.1934536321
36	0.188344541
37	0.1835104158
38	0.1789414737
39	0.1754093317
40	0.1709770052
41	0.1675436096
42	0.1650134138
43	0.1631450528
44	0.1607647253
45	0.1571755784
46	0.1535819249
47	0.1514961583
48	0.1495725583
49	0.1476239581
50	0.1454151047
51	0.142844992
52	0.1414400351
53	0.1388132497
54	0.1376111256
55	0.1354620366
56	0.1336453168
57	0.1323867953
58	0.1314651632
59	0.1293866256
60	0.1273514086
61	0.1259530311
62	0.1246406828
63	0.1227566986
64	0.1221494618
65	0.1208761637
66	0.1196415362
67	0.1182750018
68	0.1173141553
69	0.1163031253
70	0.115616191
71	0.1146567456
72	0.1141251504
73	0.1136388784
74	0.1127242793
75	0.1120885916
76	0.111327963
77	0.110694166
78	0.110220684
79	0.1088347929
80	0.1082129587
81	0.1078397091
82	0.1065251521
83	0.1060143509
84	0.1053978768
85	0.1047635456
86	0.1038120565
87	0.1029544608
88	0.102090459
89	0.1016349004
90	0.1013205246
91	0.1005280468
92	0.09972040007
93	0.09898553307
94	0.09859138607
95	0.09827743194
96	0.09798517269
97	0.09784078125
98	0.09735708502
99	0.09675613507
100	0.09643385028
101	0.09563364719
102	0.09506418621
103	0.09430924325
104	0.09403718285
105	0.09373435134
106	0.09343043777
107	0.09318432531
108	0.09296599672
109	0.09257511269
110	0.09242787476
111	0.09184542625
112	0.09107398718
113	0.09078681202
114	0.09052903792
115	0.09034491395
116	0.09003039798
117	0.08973527754
118	0.08902705063
119	0.08826405523
120	0.08804173243
121	0.08771832869
122	0.08732083486
123	0.08701856937
124	0.08668469715
125	0.08614512825
126	0.08582697124
127	0.08541885783
128	0.08516026296
129	0.08442913063
130	0.08390627936
131	0.08343557217
132	0.08319686264
133	0.08298267412
134	0.08237188715
135	0.0821645426
136	0.08163783773
137	0.08108919862
138	0.08087225989
139	0.08061053965
140	0.08033243826
141	0.07969789109
142	0.07937643729
143	0.07919761272
144	0.07857697786
145	0.07815531161
146	0.07757960244
147	0.07701139985
148	0.07655281379
149	0.07646744583
150	0.07620804584
151	0.0760574721
152	0.07577188677
153	0.07557262787
154	0.07531890877
155	0.07509642819
156	0.07497775011
157	0.07479997294
158	0.07467202716
159	0.07445190782
160	0.07413052802
161	0.07396162998
162	0.07338931135
163	0.07283001285
164	0.07265929672
165	0.07228880343
166	0.07207058078
167	0.07183696751
168	0.0715409782
169	0.07103110491
170	0.07067072129
171	0.0703956175
172	0.0698027398
173	0.06961789292
174	0.06922793879
175	0.06884737121
176	0.06858868671
177	0.06828953481
178	0.06814132297
179	0.06790862434
180	0.06761624678
181	0.06738114434
182	0.0672095333
183	0.06697593063
184	0.06661983009
185	0.06637957378
186	0.06585892694
187	0.06571229299
188	0.06552334591
189	0.06534989939
190	0.06522969449
191	0.06509498625
192	0.06487492015
193	0.0644903915
194	0.06417107305
195	0.0638507047
196	0.06360470823
197	0.06344156666
198	0.06322594691
199	0.0630628951
200	0.06280989202
201	0.06223059586
202	0.06205977079
203	0.06160072123
204	0.06154390038
205	0.06142801488
206	0.06117691344
207	0.06108523578
208	0.06096030116
209	0.0606816441
210	0.06038447003
211	0.06024652321
212	0.05993518818
213	0.05960879412
214	0.05933205081
215	0.05906650569
216	0.05890977233
217	0.05861909104
218	0.05838982907
219	0.05813927905
220	0.05796448223
221	0.05786222753
222	0.05775295355
223	0.05750455899
224	0.05735602981
225	0.05718025477
226	0.05704600413
227	0.05688425361
228	0.05673494824
229	0.05655338631
230	0.05639176082
231	0.05627089348
232	0.05607874332
233	0.05598807931
234	0.05593668292
235	0.05583825228
236	0.05568568211
237	0.05558995182
238	0.05544548371
239	0.05520651955
240	0.05502577753
241	0.05496493047
242	0.05484144545
243	0.05472766402
244	0.05450744488
245	0.05428096419
246	0.05414885779
247	0.05398019656
248	0.05379085618
249	0.05365567495
250	0.05341189532
251	0.05329603287
252	0.05289412431
253	0.05270810906
254	0.05254669152
255	0.05231103037
256	0.05219793153
257	0.05206949485
258	0.05182454775
259	0.05169421304
260	0.05155907162
261	0.05145330479
262	0.05133167247
263	0.05087266661
264	0.0506612461
265	0.05048092446
266	0.05036953154
267	0.05022273635
268	0.05014227993
269	0.0500792067
270	0.0500243176
271	0.04991077074
272	0.04949378689
273	0.04938985376
274	0.04914720774
275	0.04897629947
276	0.04887871626
277	0.04882029113
278	0.04866289461
279	0.04850828206
280	0.04841992605
281	0.04824113577
282	0.04812281761
283	0.04798555451
284	0.047798446
285	0.04760894029
286	0.04745757978
287	0.04734952148
288	0.04717314015
289	0.04706319397
290	0.04694437324
291	0.04675576387
292	0.04662000769
293	0.04649447378
294	0.046378203
295	0.04631584819
296	0.04604546963
297	0.04576786303
298	0.04548815878
299	0.04541489666
300	0.04534141127
301	0.04523324797
302	0.04508802636
303	0.04489113463
304	0.04478240826
305	0.04455247675
306	0.04429689406
307	0.04406087592
308	0.04382463022
309	0.04373889821
310	0.04371120118
311	0.04359911682
312	0.04350404945
313	0.04320354662
314	0.04295188687
315	0.04280627116
316	0.0426229188
317	0.04253334249
318	0.04245142848
319	0.04239710464
320	0.04223023861
321	0.04205747323
322	0.04186307793
323	0.04175093964
324	0.04157499159
325	0.04142685621
326	0.04131841954
327	0.04114766171
328	0.041083063
329	0.04065401439
330	0.04055259804
331	0.04037585809
332	0.04023093183
333	0.04016640369
334	0.0400436009
335	0.03991758643
336	0.03977798001
337	0.03960887596
338	0.0395133398
339	0.03938341801
340	0.03926607803
341	0.03920019381
342	0.0391526095
343	0.03910495651
344	0.03903344396
345	0.03893271075
346	0.03879757691
347	0.03861844473
348	0.03852574856
349	0.0384581776
350	0.03829939908
351	0.03820992579
352	0.03812906503
353	0.0380036847
354	0.03793784383
355	0.03783444538
356	0.03781227215
357	0.03764831411
358	0.03758776404
359	0.03754356762
360	0.0374606983
361	0.0373656355
362	0.03707598312
363	0.03697497335
364	0.03675784807
365	0.03669402287
366	0.03661570908
367	0.03641988619
368	0.03633031158
369	0.03613723856
370	0.0360730749
